结构	用途选车	城市	国别	品牌	口碑参数	车系	论坛用词	资讯关键词	动作指令	保养项目	保养次数	问时间	问价格	生产厂商	指定拆词	外观描述	动力描述	配置描述	价格描述	排量描述	车身配置	车身参数	驱动电机数	发动机型号	进气形式	配气机构	发动机特有技术	供油方式	变速箱类型	驱动方式	助力类型	车体结构	驻车制动类型	备胎规格	四驱形式	中央差速器结构	电池类型	后排车门开启方式	电机布局	变速箱和简称	变速箱	简称	能源类型	缸盖材料和缸体材料	缸盖材料	缸体材料	前悬架类型和后悬架类型	前悬架类型	后悬架类型	前制动器类型和后制动器类型	前制动器类型	后制动器类型	级别	版型	颜色	环保标准	厂商	询价用词	热门	省	侧滑门	车窗一键升降	多天窗	方向盘调节	后排座椅放倒方式	近光灯	近光灯和远光灯	可变悬架	外接音源接口	扬声器品牌	远光灯	座椅材质	颜色类型	CD/DVD	可加热/制冷杯架	前桥限滑差速器/差速锁和后桥限滑差速器/差速锁	前桥限滑差速器/差速锁	后桥限滑差速器/差速锁	加速度描述	发动机	问公里
	舒适	天长	end	GTA		GLEAMG			违章查询	空气滤芯	end										自动驻车	长度		1FZ-FE			双火花塞		机械式自动变速箱											CVT无级变速(模拟5挡)							独立式	独立的双垫架类型	纵向拖曳臂式非独立悬架				中大型	双冠旗舰	超级白色	欧五	东风标致			甘肃省										FOCAL劲浪										H4发动机	
	安全	桐城		Gumpert		GLCAMG			查违章	空调滤清器											陡坡缓降	宽度(mm)		2UZ-FEV8			可变进气歧管		AMT											6挡AMT							横向摆臂式带横向稳定杆	双横臂式扭杆弹簧独立悬架	纵臂扭力梁式独立悬架				suv	豪华增值	珍珠白色	欧5	上汽通用雪佛兰			甘肃										end										发动机H4	
	维修少	北京		Hennessey		GLAAMG			违章缴费	空调滤芯											可变悬架	宽度		2UZ			水冷中冷器		电子无级变速箱											7挡自动							智能型电子控制悬架系统	螺旋簧/杆系结构	整体桥式				小型	尚智领	极地白	欧IV	东南汽车			河北省																				W12	
	耐用	重庆		Icona		CSC			预约保养	转向助力油											空气悬架	高度(mm)		7GR-FKS			双C-VTC可变气门正时		E-CVT											8挡自动							双摇臂独立悬架	长短臂前悬架	空气弹簧				A级车	智享尊驰	钻白	欧四	东风悦达起亚			河北																				W12发动机	
	省心	福州		Inferno		CL级AMG			油卡充值	防冻液											可变转向比	高度		2TR-FE			NISSANEGI		ECVT											E-CVT+自动变速箱(模拟10挡)							螺旋弹簧独立悬架	双球节麦弗逊悬挂	纵向摆臂式独立悬架				B级车	个性化定制	莹白	欧4	上汽通用别克			河南省																				发动机W12	
	耐用	厦门		Italdesign		GS4新能源			拍照识车	end											前桥限滑差速器/差速锁	轴距(mm)		483Q			DoubleVANOS/Valvetronic		end											6挡序列变速							独立双叉式悬架带横向稳定杆	双接头弹簧减振支柱悬架带主销前倾后置	扭力杆悬架、螺旋弹簧、减振筒				C级车	运动增强	贵族白	欧III	华泰汽车			河南																				L3	
	安全性能比较高	三明		Jeep		CLS级AMG			二手												中央差速器锁止功能	轴距		4G18			i-VTE													4挡手动							双叉臂式、螺旋弹簧带气压减振器及防侧倾杆	独立悬架	可变形横梁式				D级车	升级增程	卷云白	欧3	广汽三菱			台湾省																				L3发动机	
	结实耐用	莆田		吉普		CLK			end												后桥限滑差速器/差速锁	前轮距(mm)		479Q-BA			end													5挡序列							横向稳定杆	不等长双横臂扭杆弹簧	带横向稳定杆				微型	创领	珍珠白	欧三	北京奔驰			台湾																				发动机L3	
	安全系数高	泉州		KTM		CLA															电动天窗	前轮距		HA-1.3																2挡自动							多连杆式独立悬架带阻尼可调减振器	准麦弗逊式独立悬架	四连杆独立式气压液压悬架配横向稳定杆				面包车	乐动套装	粉笔白	欧II	永源汽车			贵州省																				W8	
	不容易坏	漳州		LeSEE		CITAN															全景天窗	后轮距(mm)		HA-VVT-1.5																电动车单速变速箱							三链螺旋弹弓型	双叉臂式扭杆弹簧独立悬架	扭梁				轿车	舒享	钻石白	欧2	华普汽车			贵州																				W8发动机	
	大空间	南平		LOCAL MOTORS		A级AMG															运动外观套件	后轮距		LH2																6挡序列							双叉骨悬架	滑柱单摆臂式独立悬架	螺旋弹簧非独立式				end	定制商务	北极白	欧二	一汽红旗			辽宁省																				发动机W8	
	实惠实用	宁德		Lorinser		IX25															铝合金轮圈	最小离地间隙(mm)		LY7																8挡双离合							带有气动减振器	带转向的双横臂悬架	扭梁式非独立悬架					混动概念	浅象牙白	end	力帆汽车			辽宁																				W16	
	钢炮	龙岩		Lucid		CL级															电动吸合门	最小离地间隙		G4GB																7挡AMT							卷圈弹簧	滑柱式悬架	拖曳臂式					甲醇动力	神秘白		长安马自达			青海省																				W16发动机	
	家用	长乐		MAGNA		CLS级															侧滑门	整备质量(kg)		G4ED																7挡序列							双摇臂、螺旋弹簧	前独立支柱式悬吊系统附平衡杆	E型多连杆式独立悬架					精致智能	雪山白		一汽奔腾			青海																				发动机W16	
	家庭入门	福安		Mahindra		TT															电动后备厢	整备质量		M270																7挡ISR变速箱							独立双叉臂	双叉形臂式螺旋弹簧	复合连杆式					精英女性	月光石白色		陆风汽车			山西省																				L5	
	家用车	福鼎		Mazzanti		SQ7															真皮方向盘	车门数(个)		M274																9挡双离合							防倾杆	四连杆+双A臂+防倾杆	螺旋弹簧整体桥式					精致标准	矿石白		东风风行			山西																				L5发动机	
	家庭日常用车	福清		MELKUS		UP!															方向盘调节	车门数		166960																CVT无级变速模拟7挡							可手动或自动控制的电子减振器	L型摆臂前独立悬架	多连杆螺旋弹簧独立式					睿趣运动	羊脂白		一汽吉林			山东省																				发动机L5	
	家庭代步车	建瓯		MINI		SQ5															方向盘电动调节	座位数(个)		KA24																5挡双离合							双横向导臂加减振支柱	麦弗逊支柱带螺旋弹簧和稳定杆	多连杆式独立悬架+横向稳定杆					蓝标风尚	阿拉斯加白		长安汽车			山东																				end	
	适合年轻人	建阳		nanoFLOWCELL		RS7															多功能方向盘	座位数		VG33																end							全铝A型独立防翻滚弹簧	独立不等长双横臂	扭力梁式后悬架					实酷	富士白		开瑞汽车			湖北省																					
	家用座驾	晋江		NEVS		RS6															方向盘换挡	油箱容积(L)		271940																							Olhins可调避震	左右长短臂附防倾杆独立悬架	纵向摆臂带减振器独立悬架					商务标准	玉龙雪山白		上汽斯柯达			湖北																					
	性价比高	龙海		Noble		RS5															方向盘加热	油箱容积		271950																							顶部加强杆	副车架配合麦弗逊式独立悬架	五连杆螺旋弹簧					智享领先	梅瑞贝尔白		长安沃尔沃			湖南省																					
	适合年轻人	南安		Radical		RS4															定速巡航	行李厢容积(L)		271860																							螺旋弹簧	三杆双横臂螺旋弹簧独立悬架	联体摇臂式					标准超长货箱	瓦卢瓦尔白		北京汽车			湖南																					
	山区开	邵武		RENOVO		RS3															前/后驻车雷达	行李厢容积		113960																							螺旋弹簧	双横臂扭杆式独立悬架	非独立非驱动桥					致尊	玉石白		北京克莱斯勒			浙江省																					
	撩妹神器	石狮		Rezvani		S4															倒车视频影像	发动机型号		112972																							MRC主动电磁感应独立悬架系统	被动式叉型前悬架	四连杆式独立悬架电磁减振					新立业长车身	塔夫绸白		江淮汽车			浙江																					
	约泡利器	武夷山		Rimac		R8															行车电脑显示屏	排量(mL)		275953																							麦弗逊式独立悬架	扭杆弹簧独立悬架	纵向双叉臂					轿跑特别	星月白		众泰汽车			end																					
	约炮利器	永安		Rinspeed		R18															HUD抬头数字显示	排量(L)		112922																							螺旋弹簧	双球节麦弗逊前悬架	辅助控制臂					致能	大理石白		东风汽车																								
	约炮	漳平		Scion		Q9															运动风格座椅	排量		272940																							三连杆硬轴连螺旋弹簧	双叉臂式独立悬架带阻尼可调减振器	纵臂扭转力式非独立悬架					致领	鹅卵白		北京汽车制造厂																								
	约泡	兰州		SIN CARS		Q8															座椅高低调节	进气形式		113980																							F1赛车技术双叉型臂	螺旋弹簧带双摆臂独立悬架	多连杆式铝制整体后桥					智行	薄雾白		海马汽车																								
	安全性好	金昌		smart		Q4															腰部支撑调节	气缸排列形式		EQ486(NISSANSR20DE)																							钢板弹簧非独立悬架	双叉杆式独立悬架	整体铝质后桥					智炫·旗舰	奇瑞白		福建奔驰																								
	安全性能高	白银		SPIRRA		Q2															肩部支撑调节	气缸数(个)		HR15DE																							铝合金叉杆式带稳定杆	双叉臂	连杆摆臂式非独立					至尊多功能	名流白		东风乘用车																								
	安全系数高	天水		SSC		A8															主/副驾驶座电动调节	气缸数		SR20																							双横臂螺旋弹簧独立悬架	空气弹簧独立悬架	上下连杆					旗舰	温馨白		上汽通用凯迪拉克																								
	安全性能好	嘉峪关		SWM斯威汽车		A7															第二排靠背角度调节	每缸气门数(个)		B48B20D																							螺旋弹簧	横向推杆式双叉臂独立悬架	整体式的多连杆机构					电动厢式运输车标准	皓月白		曙光汽车																								
	高安全性	定西		TOROIDION		A6															第二排座椅移动	每缸气门数		B48B20C																							双叉臂式独立悬架	钢板弹簧式非独立悬架	多连杆悬架带横向稳定杆					开拓	铂钻白		广汽乘用车																								
	后排宽敞	平凉		Tramontana		A4															后排座椅电动调节	压缩比		M54226S1																							电磁减振	左右长短臂	H型整体式后桥					泵豪华短货箱	极炫白		野马汽车																								
	大排自吸	西峰		TVR		宝马X1															电动座椅记忆	配气机构		M54256S5																							独立式铝制双横臂	麦弗逊式独立悬挂	摇曳臂+多连杆					功勋	性能白		江铃汽车																								
	商务车	陇南		Vanda Electric		BMWX一															前/后排座椅加热	缸径(mm)		N52B25																							横向推杆水平悬架	双叉臂式独立悬挂	整体桥式非独立悬架					运动曜夜	骑士白		中兴汽车																								
	舒适度好	武威		Venturi		别摸我叉一															前/后排座椅通风	缸径		M54306S3																							双横臂螺旋弹簧	滑柱摆臂式独立悬架	纵臂扭力梁式					时尚运动	铂晶白		东风裕隆																								
	舒适度高	张掖		VLF Automotive		宝马X一															前/后排座椅按摩	行程(mm)		N52B30																							带横向稳定杆的叶片式弹簧	双横臂独立悬挂	后连杆螺旋弹簧带稳定杆独立悬架					智尚运动	铂金白		东风启辰																								
	行车品质高	酒泉		WEY		别摸我X一															后排座椅放倒方式	行程		N52B25BE																							纵置钢板弹簧式非独立悬架	独立悬挂	平衡杆带螺旋弹簧悬架系统					新超值标准货箱基本	铂金珍珠白		华晨金杯																								
	可爱	甘南		魏派		别摸我X1															前/后中央扶手	最大马力(Ps)		N46B20																							钢板弹簧	叉骨式与扭力杆式独立悬挂	拉臂式悬架					豪华欧	极光白		福田汽车																								
	个性	敦煌		W Motors		宝马叉一															后排杯架	最大马力		N55B30																							渐变刚度钢板弹簧非独立悬架	双摆臂扭杆弹簧	摆臂式结构					风采超值	典雅白		一汽欧朗																								
	适合改装	合作		YAMAHA		BMW叉一															GPS导航系统	最大功率(kW)		N20B20																							end	双横臂扭杆式独立悬挂	五连杆独立悬架					新精英升级	皓白		江铃福特																								
	性能车	临夏		Zenvo		X一															定位互动服务	最大功率		N46B20CB																								纵置扭杆弹簧独立悬架	半拖曳臂式独立悬架					至尊加长	皓白色		苏州金龙																								
	高性能越野	庆阳		阿尔法罗密欧		叉一															中控台彩色大屏	最大功率转速(rpm)		N46B20CC																								前双摆臂式独立悬架	多连杆悬架+横向稳定杆带AVS适应式可调悬架					智享尊贵	莹贝白		华晨鑫源																								
	新手入门车	玉门		阿斯顿马丁		X1															内置硬盘	最大功率转速		N52B25BF																								横置单簧式独立悬挂	双横拉杆和减振支柱带防侧倾杆					通勤纯电动	香草白		上汽大通																								
	家用旅行车	广州		艾康尼克		别摸我叉1															蓝牙/车载电话	最大扭矩(N·m)		N13B16A																								双摇臂悬架	五连杆后悬架					互联智享	素贝白		九龙汽车																								
	适合女生	深圳		安凯客车		BMWX1															车载电视	最大扭矩		B38B15C																								三连杆式独立悬架	独立多连接类型					领先运动套装	冰晶白		长安轻型车																								
	代步	珠海		安凯		叉1															后排液晶屏	最大扭矩转速(rpm)		DA468Q																								铝合金双接头弹簧柱	双叉横臂式独立悬架					豪享	冰川白		大迪汽车																								
	女性	佛山		奥迪		宝马叉1															CD支持MP3/WMA	最大扭矩转速		DA465Q-2																								双叉臂螺旋弹簧独立悬架	横向扭力杆式悬架					百万智领	风尚白		一汽通用																								
	女孩开的	东莞		巴博斯		BMW叉1															CD/DVD	发动机特有技术		DA471QL																								不等长双横臂扭杆下置式独立悬架	轻质钢结构五向后轴					家悦信赖	酷白		广汽中兴																								
	女士车	顺德		宝骏		宝马X1进口															扬声器品牌	燃料形式		DA468QA																								整体式	中心臂式车桥带有纵向摆臂和双横向摆臂					星快运多用途乘用车	月光石白		光冈自动车																								
	end	惠州		宝马		宝马X一进口															扬声器数量	燃油标号		DAK10A																								多叉骨式	半拖曳臂式带螺旋弹簧和稳定杆					睿驰	月牙白		南京依维柯																								
		江门		宝沃		宝马叉1进口															LED日间行车灯	供油方式		DA471Q																								双叉臂式独立前悬挂带横向稳定杆	多连杆式悬架					加长尊崇	细花白		绵阳金杯																								
		湛江		保斐利		叉1进口															自动头灯	缸盖材料		DA476Q																								非独立悬架	单臂式后独立悬架					都市精英	乳白色		观致汽车																								
		茂名		保时捷		BMWX一进口															转向辅助灯	缸体材料		4G15S																								横臂扭杆下置式独立悬架	五连杆螺旋弹簧非独立式					智豪	茉莉白		奇瑞万达客车																								
		中山		北京		X1进口															转向头灯	环保标准		448PN																								双横臂+螺旋弹簧独立悬架	扭杆式纵向横臂					锐尊	幻白		福迪汽车																								
		汕头		北汽幻速		X一进口															前雾灯	简称		428PS																								双横臂螺旋独立悬架	四连杆机构式悬架					逸尊	雪域白		沃尔沃亚太																								
		揭阳		北汽绅宝		别摸我叉1进口															大灯高度可调	挡位个数		K14B																								双横臂纵置扭杆	带稳定杆扭力梁式后悬架					定制	沙白		广汽菲克菲亚特																								
		潮州		北汽威旺		别摸我X1进口															大灯清洗装置	变速箱类型		K14B-D																								横置板簧麦弗逊悬挂	带双叉臂稳定杆扭力梁式后桥					升级豪华	冰雪白		长安标致雪铁龙																								
		汕尾		北汽新能源		BMW叉1进口															车内氛围灯	驱动方式		DA465QA-2																								双叉臂螺旋独立悬架	非独立加强型后悬架					耀目	水晶白		厦门金旅																								
		韶关		北汽制造		叉一进口															前/后电动车窗	前悬架类型		DA465Q2/D2																								end	拖拽臂式					豪华舱	瓷器白		新凯汽车																								
		肇庆		奔驰		别摸我叉一进口															车窗防夹手功能	后悬架类型		B6324S																									扭力梁复合连杆					标准尊享运动	羊绒白		南京金龙																								
		清远		奔腾		BMW叉一进口															防紫外线/隔热玻璃	助力类型		K20A7																									水平对置螺旋避震					选装	羊绒色		长安跨越																								
		梅州		本田		别摸我X一进口															后视镜电动调节	车体结构		J30A4																									多导向轴					铂金加长	北非白		厦门金龙																								
		河源		广本		BMWX1进口															后视镜加热	前制动器类型		K24Z2																									弹性支柱					多功能商用车	白		东风英菲尼迪																								
		云浮		比速汽车		宝马叉一进口															内/外后视镜自动防眩目	后制动器类型		J35Z2																									四连杆螺旋弹簧非独立悬架					驾值	冰白		北汽银翔																								
		阳江		比速		宝马X1新能源															后视镜电动折叠	驻车制动类型		R20A3																									五连杆螺旋弹簧非独立悬架					锐酷	晶莹白		恒天汽车																								
		从化		比亚迪		BMWX一新能源															后视镜记忆	前轮胎规格		L13A3																									双连杆拖曳臂式独立悬架					快运舒适	石英白		卡威汽车																								
		恩平		BYD		宝马叉一新能源															后风挡遮阳帘	后轮胎规格		L15A1																									螺旋杆系统					舒适加长货箱	超音速石英白		知豆电动车																								
